id;nombre;provincia;canton;distrito;direccion;telefono;email
1;Account;Informática portals;Marroquinería e-markets;China Comunicaciones;Librería Moda;Mancha;AnaMara.Paz7@yahoo.com
2;Granito Dollar calculating;SSL ejecutiva previsión;Humano;asíncrona invoice;parsing;Cataluña copying bypass;Vernica25@gmail.com
3;Account;Peso Coche AI;Rústico;Pula transmit;Amarillo SCSI;platforms Raton Ordenador;Rosa77@yahoo.com
4;Azul;International Granito deposit;Cantabria Principado horas;y;schemas Navarra bus;Granito;Norma29@hotmail.com
5;Hormigon Pequeño Ejecutivo;bus;grow ADP modular;Loan transmit Tácticas;Decoración Borders;Jefe;MaraTeresa0@yahoo.com
6;invoice;Berkshire bluetooth;Normas payment;programming Madera;Investment CSS;Ruanda Morado Dram;Rosa_Njera78@yahoo.com
7;Barein SCSI;Granito Galicia;Bedfordshire;Granito metrics;generating payment;IB Grupo fritas;Pilar.Noriega89@yahoo.com
8;País synthesizing;Colombian Chalet Respuesta;Borders;Canarias;Peso;Bebes;Francisco.Luevano9@yahoo.com
9;estandardización;núcleo;withdrawal synergies;Equilibrado logística;Videojuegos compressing;Riera;Carla_Archuleta@gmail.com
10;quantify override;circuit Somali Madera;Camino Interno Videojuegos;Uruguayo Senda;harness;Cordoba;Soledad_Campos@hotmail.com
