id;nombre;numero;piso;total_pacientes;num_pacientes;num_visitantes;visita_disponible
1;ejecutiva SDD morph;calculating monitorizar Corea;96458;58326;78701;71348;true
2;focus;orquestar Usabilidad Marino;39311;90365;73852;81764;true
3;empower Acero Macao;Mascotas Amarillo Metal;93854;38899;97805;50970;true
4;a holistic;Aragón Algodón;6663;66247;6680;99920;false
5;Savings Gorro;CSS;76574;18767;21493;88341;true
6;sistémica Futuro Guapo;proyección Ergonómico;9579;19032;19367;13956;true
7;Sorprendente;Electrónica FTP e-markets;47156;66578;18530;48273;true
8;Israeli redundant PNG;value-added Pequeño;45040;68283;30977;55238;true
9;programming JBOD Algodón;Interacciones;82167;60059;10947;61573;true
10;no-volátil partnerships;generating;57689;71829;31541;65208;false
